test_id;test_param;test_param_value;test_time
1;TC;2;22
2;TC;4;40
3;TC;6;50
4;TC;8;49
5;TC;10;62
6;TC;12;68
7;TC;14;85
8;TC;16;109
9;TC;18;111
10;TC;20;82
11;TC;22;118
12;TC;24;140
13;TC;26;60
14;TC;28;119
15;TC;30;109
16;TC;32;82
17;TC;34;114
18;TC;36;146
19;TC;38;163
20;TC;40;163
21;TC;42;181
22;TC;44;187
23;TC;46;184
24;TC;48;142
25;TC;50;142
26;TC;52;204
27;TC;54;181
28;TC;56;164
29;TC;58;174
30;TC;60;244
31;TC;62;163
32;TC;64;233
33;TC;66;230
34;TC;68;225
35;TC;70;224
36;TC;72;249
37;TC;74;223
38;TC;76;242
39;TC;78;215
40;TC;80;245
41;TC;82;276
42;TC;84;296
43;TC;86;206
44;TC;88;251
45;TC;90;235
46;TC;92;338
47;TC;94;284
48;TC;96;331
49;TC;98;289
50;TC;100;318
