test_id;test_param;test_param_value;test_time
1;TC;2;3
2;TC;4;2
3;TC;6;3
4;TC;8;4
5;TC;10;5
6;TC;12;4
7;TC;14;4
8;TC;16;5
9;TC;18;7
10;TC;20;7
11;TC;22;7
12;TC;24;9
13;TC;26;8
14;TC;28;9
15;TC;30;8
16;TC;32;12
17;TC;34;8
18;TC;36;10
19;TC;38;10
20;TC;40;12
21;TC;42;14
22;TC;44;15
23;TC;46;15
24;TC;48;17
25;TC;50;15
26;TC;52;13
27;TC;54;16
28;TC;56;15
29;TC;58;19
30;TC;60;17
31;TC;62;17
32;TC;64;18
33;TC;66;18
34;TC;68;17
35;TC;70;21
36;TC;72;15
37;TC;74;19
38;TC;76;19
39;TC;78;20
40;TC;80;20
41;TC;82;19
42;TC;84;20
43;TC;86;23
44;TC;88;19
45;TC;90;22
46;TC;92;22
47;TC;94;23
48;TC;96;26
49;TC;98;30
50;TC;100;21
