test_id;test_param;test_param_value;test_time
1;TC;2;74
2;TC;4;58
3;TC;6;61
4;TC;8;59
5;TC;10;64
6;TC;12;61
7;TC;14;64
8;TC;16;62
9;TC;18;71
10;TC;20;65
11;TC;22;67
12;TC;24;70
13;TC;26;69
14;TC;28;69
15;TC;30;67
16;TC;32;73
17;TC;34;69
18;TC;36;73
19;TC;38;74
20;TC;40;73
21;TC;42;76
22;TC;44;80
23;TC;46;77
24;TC;48;80
25;TC;50;79
26;TC;52;91
27;TC;54;83
28;TC;56;84
29;TC;58;90
30;TC;60;86
31;TC;62;95
32;TC;64;83
33;TC;66;92
34;TC;68;95
35;TC;70;94
36;TC;72;95
37;TC;74;96
38;TC;76;98
39;TC;78;97
40;TC;80;97
41;TC;82;110
42;TC;84;101
43;TC;86;108
44;TC;88;103
45;TC;90;104
46;TC;92;108
47;TC;94;103
48;TC;96;106
49;TC;98;116
50;TC;100;118
