test_id;test_param;test_param_value;test_time
1;TC;2;1
2;TC;4;2
3;TC;6;2
4;TC;8;2
5;TC;10;4
6;TC;12;4
7;TC;14;4
8;TC;16;5
9;TC;18;4
10;TC;20;4
11;TC;22;8
12;TC;24;8
13;TC;26;9
14;TC;28;11
15;TC;30;11
16;TC;32;11
17;TC;34;12
18;TC;36;12
19;TC;38;13
20;TC;40;14
21;TC;42;13
22;TC;44;16
23;TC;46;17
24;TC;48;17
25;TC;50;18
26;TC;52;18
27;TC;54;17
28;TC;56;19
29;TC;58;21
30;TC;60;21
31;TC;62;20
32;TC;64;19
33;TC;66;23
34;TC;68;25
35;TC;70;25
36;TC;72;25
37;TC;74;26
38;TC;76;26
39;TC;78;27
40;TC;80;27
41;TC;82;31
42;TC;84;28
43;TC;86;30
44;TC;88;31
45;TC;90;34
46;TC;92;34
47;TC;94;32
48;TC;96;33
49;TC;98;34
50;TC;100;33
