test_id;test_param;test_param_value;test_time
1;TC;2;5
2;TC;4;5
3;TC;6;8
4;TC;8;10
5;TC;10;12
6;TC;12;15
7;TC;14;18
8;TC;16;20
9;TC;18;23
10;TC;20;27
11;TC;22;29
12;TC;24;32
13;TC;26;34
14;TC;28;38
15;TC;30;39
16;TC;32;43
17;TC;34;47
18;TC;36;50
19;TC;38;54
20;TC;40;58
21;TC;42;60
22;TC;44;62
23;TC;46;65
24;TC;48;70
25;TC;50;72
26;TC;52;76
27;TC;54;82
28;TC;56;82
29;TC;58;87
30;TC;60;90
31;TC;62;95
32;TC;64;97
33;TC;66;101
34;TC;68;105
35;TC;70;110
36;TC;72;112
37;TC;74;115
38;TC;76;119
39;TC;78;123
40;TC;80;127
41;TC;82;131
42;TC;84;133
43;TC;86;134
44;TC;88;140
45;TC;90;144
46;TC;92;147
47;TC;94;152
48;TC;96;153
49;TC;98;160
50;TC;100;160
