test_id;test_param;test_param_value;test_time
1;TC;2;63
2;TC;4;62
3;TC;6;64
4;TC;8;65
5;TC;10;65
6;TC;12;69
7;TC;14;65
8;TC;16;67
9;TC;18;68
10;TC;20;68
11;TC;22;69
12;TC;24;75
13;TC;26;71
14;TC;28;70
15;TC;30;79
16;TC;32;77
17;TC;34;81
18;TC;36;75
19;TC;38;77
20;TC;40;78
21;TC;42;81
22;TC;44;85
23;TC;46;85
24;TC;48;88
25;TC;50;95
26;TC;52;101
27;TC;54;95
28;TC;56;96
29;TC;58;89
30;TC;60;94
31;TC;62;93
32;TC;64;92
33;TC;66;93
34;TC;68;100
35;TC;70;97
36;TC;72;103
37;TC;74;104
38;TC;76;106
39;TC;78;110
40;TC;80;114
41;TC;82;105
42;TC;84;106
43;TC;86;106
44;TC;88;114
45;TC;90;103
46;TC;92;112
47;TC;94;110
48;TC;96;103
49;TC;98;121
50;TC;100;113
