test_id;test_param;test_param_value;test_time
1;TC;2;5
2;TC;4;6
3;TC;6;8
4;TC;8;10
5;TC;10;12
6;TC;12;16
7;TC;14;19
8;TC;16;21
9;TC;18;23
10;TC;20;27
11;TC;22;30
12;TC;24;33
13;TC;26;34
14;TC;28;38
15;TC;30;40
16;TC;32;45
17;TC;34;46
18;TC;36;49
19;TC;38;51
20;TC;40;53
21;TC;42;57
22;TC;44;60
23;TC;46;65
24;TC;48;64
25;TC;50;73
26;TC;52;70
27;TC;54;75
28;TC;56;76
29;TC;58;82
30;TC;60;83
31;TC;62;87
32;TC;64;90
33;TC;66;98
34;TC;68;98
35;TC;70;100
36;TC;72;107
37;TC;74;110
38;TC;76;120
39;TC;78;124
40;TC;80;126
41;TC;82;128
42;TC;84;133
43;TC;86;138
44;TC;88;137
45;TC;90;140
46;TC;92;149
47;TC;94;147
48;TC;96;152
49;TC;98;160
50;TC;100;158
