test_id;test_param;test_param_value;test_time
1;TC;2;5
2;TC;4;10
3;TC;6;15
4;TC;8;11
5;TC;10;23
6;TC;12;21
7;TC;14;22
8;TC;16;25
9;TC;18;26
10;TC;20;27
11;TC;22;31
12;TC;24;31
13;TC;26;36
14;TC;28;37
15;TC;30;42
16;TC;32;45
17;TC;34;45
18;TC;36;50
19;TC;38;50
20;TC;40;52
21;TC;42;56
22;TC;44;60
23;TC;46;60
24;TC;48;67
25;TC;50;68
26;TC;52;68
27;TC;54;68
28;TC;56;73
29;TC;58;84
30;TC;60;96
31;TC;62;85
32;TC;64;95
33;TC;66;101
34;TC;68;100
35;TC;70;106
36;TC;72;109
37;TC;74;111
38;TC;76;111
39;TC;78;114
40;TC;80;118
41;TC;82;118
42;TC;84;124
43;TC;86;138
44;TC;88;122
45;TC;90;129
46;TC;92;134
47;TC;94;132
48;TC;96;135
49;TC;98;143
50;TC;100;143
