test_id;test_param;test_param_value;test_time
1;TC;2;13
2;TC;4;10
3;TC;6;12
4;TC;8;16
5;TC;10;22
6;TC;12;25
7;TC;14;27
8;TC;16;31
9;TC;18;37
10;TC;20;41
11;TC;22;45
12;TC;24;49
13;TC;26;53
14;TC;28;57
15;TC;30;61
16;TC;32;68
17;TC;34;69
18;TC;36;75
19;TC;38;75
20;TC;40;84
21;TC;42;84
22;TC;44;92
23;TC;46;99
24;TC;48;94
25;TC;50;102
26;TC;52;102
27;TC;54;107
28;TC;56;115
29;TC;58;121
30;TC;60;119
31;TC;62;126
32;TC;64;131
33;TC;66;136
34;TC;68;133
35;TC;70;143
36;TC;72;149
37;TC;74;149
38;TC;76;154
39;TC;78;159
40;TC;80;161
41;TC;82;163
42;TC;84;171
43;TC;86;170
44;TC;88;177
45;TC;90;173
46;TC;92;198
47;TC;94;191
48;TC;96;191
49;TC;98;201
50;TC;100;199
