test_id;test_param;test_param_value;test_time
1;TC;2;72
2;TC;4;68
3;TC;6;71
4;TC;8;71
5;TC;10;76
6;TC;12;75
7;TC;14;76
8;TC;16;74
9;TC;18;78
10;TC;20;79
11;TC;22;78
12;TC;24;78
13;TC;26;78
14;TC;28;81
15;TC;30;86
16;TC;32;91
17;TC;34;87
18;TC;36;87
19;TC;38;85
20;TC;40;92
21;TC;42;89
22;TC;44;88
23;TC;46;87
24;TC;48;90
25;TC;50;95
26;TC;52;99
27;TC;54;97
28;TC;56;103
29;TC;58;100
30;TC;60;98
31;TC;62;112
32;TC;64;111
33;TC;66;105
34;TC;68;104
35;TC;70;106
36;TC;72;104
37;TC;74;110
38;TC;76;102
39;TC;78;110
40;TC;80;111
41;TC;82;109
42;TC;84;114
43;TC;86;114
44;TC;88;115
45;TC;90;122
46;TC;92;115
47;TC;94;120
48;TC;96;131
49;TC;98;114
50;TC;100;126
