test_id;test_param;test_param_value;test_time
1;TC;2;5
2;TC;4;11
3;TC;6;14
4;TC;8;19
5;TC;10;22
6;TC;12;26
7;TC;14;29
8;TC;16;36
9;TC;18;41
10;TC;20;51
11;TC;22;68
12;TC;24;68
13;TC;26;101
14;TC;28;87
15;TC;30;96
16;TC;32;118
17;TC;34;158
18;TC;36;187
19;TC;38;185
20;TC;40;235
21;TC;42;266
22;TC;44;371
23;TC;46;398
24;TC;48;523
25;TC;50;574
26;TC;52;679
27;TC;54;795
28;TC;56;971
29;TC;58;1153
30;TC;60;1345
31;TC;62;1561
32;TC;64;1817
33;TC;66;2176
34;TC;68;2505
35;TC;70;2876
36;TC;72;3344
37;TC;74;3852
38;TC;76;4426
39;TC;78;5114
40;TC;80;5767
41;TC;82;6666
42;TC;84;7631
43;TC;86;8576
44;TC;88;9847
45;TC;90;11181
46;TC;92;12762
47;TC;94;14153
48;TC;96;15551
49;TC;98;17457
50;TC;100;20079
