test_id;test_param;test_param_value;test_time
1;TC;2;1
2;TC;4;2
3;TC;6;3
4;TC;8;3
5;TC;10;4
6;TC;12;4
7;TC;14;4
8;TC;16;5
9;TC;18;7
10;TC;20;5
11;TC;22;4
12;TC;24;8
13;TC;26;9
14;TC;28;10
15;TC;30;10
16;TC;32;11
17;TC;34;12
18;TC;36;11
19;TC;38;13
20;TC;40;13
21;TC;42;16
22;TC;44;15
23;TC;46;16
24;TC;48;17
25;TC;50;18
26;TC;52;18
27;TC;54;18
28;TC;56;20
29;TC;58;20
30;TC;60;21
31;TC;62;22
32;TC;64;22
33;TC;66;22
34;TC;68;23
35;TC;70;24
36;TC;72;19
37;TC;74;25
38;TC;76;27
39;TC;78;26
40;TC;80;26
41;TC;82;28
42;TC;84;29
43;TC;86;29
44;TC;88;31
45;TC;90;32
46;TC;92;31
47;TC;94;33
48;TC;96;35
49;TC;98;36
50;TC;100;35
