test_id;test_param;test_param_value;test_time
1;TC;2;281
2;TC;4;54
3;TC;6;57
4;TC;8;53
5;TC;10;58
6;TC;12;58
7;TC;14;58
8;TC;16;56
9;TC;18;59
10;TC;20;60
11;TC;22;61
12;TC;24;62
13;TC;26;59
14;TC;28;59
15;TC;30;62
16;TC;32;63
17;TC;34;64
18;TC;36;62
19;TC;38;62
20;TC;40;62
21;TC;42;64
22;TC;44;62
23;TC;46;64
24;TC;48;71
25;TC;50;71
26;TC;52;71
27;TC;54;71
28;TC;56;70
29;TC;58;70
30;TC;60;70
31;TC;62;73
32;TC;64;72
33;TC;66;75
34;TC;68;74
35;TC;70;74
36;TC;72;76
37;TC;74;74
38;TC;76;83
39;TC;78;76
40;TC;80;76
41;TC;82;77
42;TC;84;75
43;TC;86;77
44;TC;88;76
45;TC;90;76
46;TC;92;80
47;TC;94;78
48;TC;96;79
49;TC;98;85
50;TC;100;78
