test_id;test_param;test_param_value;test_time
1;TC;2;13
2;TC;4;17
3;TC;6;29
4;TC;8;29
5;TC;10;38
6;TC;12;43
7;TC;14;56
8;TC;16;65
9;TC;18;92
10;TC;20;79
11;TC;22;96
12;TC;24;153
13;TC;26;113
14;TC;28;145
15;TC;30;165
16;TC;32;201
17;TC;34;216
18;TC;36;290
19;TC;38;267
20;TC;40;349
21;TC;42;413
22;TC;44;464
23;TC;46;572
24;TC;48;667
25;TC;50;933
26;TC;52;959
27;TC;54;1179
28;TC;56;1380
29;TC;58;1655
30;TC;60;2305
31;TC;62;2905
32;TC;64;4727
33;TC;66;4653
34;TC;68;4784
35;TC;70;5734
36;TC;72;6953
37;TC;74;8505
38;TC;76;10155
39;TC;78;12351
40;TC;80;14563
41;TC;82;18237
42;TC;84;23338
43;TC;86;29004
44;TC;88;33380
45;TC;90;40844
46;TC;92;53988
47;TC;94;58012
48;TC;96;113666
49;TC;98;105262
50;TC;100;132890
